;doc_title;sub_doc_id;sentence_num;entry_type;reg_sent;sim_sent;direct_paraphrase;sentence_split;passive-active;info_delete;example_generation;explanation;de-this-ing;info_rearange;semantic_rephrasing;TER_score
0;אמנת האום זכויות אנשים עם מוגבלויות;1;1;1;דבר שרת המשפטים\n;דברי פתיחה של שרת המשפטים\n;1.0;False;;0.0;0.0;0.0;;False;;0.75
1;אמנת האום זכויות אנשים עם מוגבלויות;1;2;1;בשנת 2012 הצטרפה מדינת ישראל לרשימת המדינות שאשררו את אמנת האו”ם העוסקת בזכויותיהם של אנשים עם מוגבלויות. \n;"בשנת 2012 מדינת ישראל הצטרפה אל כל המדינות שאישרו את אמנת האו""ם לזכויות אנשים עם מוגבלות.\n";3.0;False;;1.0;0.0;0.0;;False;;0.47368421052631576
2;אמנת האום זכויות אנשים עם מוגבלויות;1;3;2;מדובר במסמך ייחודי, המבסס את התפיסה לפיה אנשים עם מוגבלות זכאים, ככל אדם, לחירות, לכבוד ולשוויון בפני החוק. \n;האמנה היא מסמך מיוחד. האמנה קובעת שלאנשים עם מוגבלות יש זכות לכבוד, לחופש ולשוויון בפני החוק.\n;3.0;True;;1.0;0.0;0.0;;False;;0.6666666666666666
3;אמנת האום זכויות אנשים עם מוגבלויות;1;4;1;בחוברת שלפניכם הסבר על האמנה, ערכיה וסעיפיה. \n;בחוברת הזו יש הסבר על האמנה ועל הכללים שבה.\n;1.0;False;;0.0;0.0;0.0;;False;;0.5
4;אמנת האום זכויות אנשים עם מוגבלויות;1;5;1;משרד המשפטים כולו, ונציבות שוויון זכויות בתוכו, פועלים לקידום חברה שוויונית יותר לאנשים עם מוגבלות בישראל. \n;"במשרד המשפטים ובנציבות שוויון זכויות לאנשים עם מוגבלות (הנציבות) פועלים כדי לקיים את אמנת האו""ם בישראל, וכדי שלאנשים עם מוגבלות יהיה שוויון.\n";1.0;False;;0.0;1.0;2.0;;False;;0.95
5;אמנת האום זכויות אנשים עם מוגבלויות;1;6;1;המשרד פועל לקידום חקיקה התואמת את ערכי האמנה, ובכלל זה תיקון מקיף לחוק הכשרות המשפטית אשר הונח על שולחן הכנסת.\n;משרד המשפטים פועל כדי לקדם חוקים שקשורים לזכויות.\n;2.0;False;;2.0;0.0;0.0;;False;;0.9130434782608695
6;אמנת האום זכויות אנשים עם מוגבלויות;1;7;6;\n;נציבות שוויון זכויות לאנשים עם מוגבלות היא חלק ממשרד המשפטים.\n;;;;0.0;0.0;2.0;;;;11.0
7;אמנת האום זכויות אנשים עם מוגבלויות;1;8;2;בנוסף לפעילותה של נציבות השוויון לקידום הנגישות ואכיפתה, מאבק בהפלייתם של אנשים עם מוגבלות וקידום תעסוקתם, פועלת הנציבות גם לקידום יישומה של אמנת האו”ם בישראל, ובפרט פועלת לקידום החיים בקהילה של אנשים עם מוגבלות, שילובם במערכת החינוך והשתתפותם בתהליכי קבלת החלטות. \n;הנציבות פועלת כדי לקדם את הזכויות של אנשים עם מוגבלות. הנציבות פועלת כדי לוודא שמקיימים את החוקים לשוויון של אנשים עם מוגבלות. נציבות פועלת נגד הפליה של אנשים עם מוגבלות. הנציבות פועלת כדי לקדם את הנגישות. הנציבות גם פועלת כדי לקדם את התעסוקה של אנשים עם מוגבלות, את ההשתלבות של אנשים עם מוגבלות בקהילה ובמערכת החינוך, ואת ההשתתפות של אנשים עם מוגבלות בקבלת החלטות.\n;3.0;True;;0.0;1.0;1.0;;False;;1.1914893617021276
8;אמנת האום זכויות אנשים עם מוגבלויות;1;9;2;לצד נציב השוויון פועלת וועדה מייעצת המורכבת מנציגי ארגונים, נציגי ציבור, משפטנים ומומחים אשר תפקידם לייעץ לנציב באופן שוטף ולהביא את קולות האנשים מן השטח אל מוקדי קבלת ההחלטות. \n;הנציבות עובדת עם וועדה שמייעצת לה ומציגה את הדעות של האנשים בקהילה. העובדים של הנציבות פועלים כדי שבישראל אנשים עם מוגבלות יוכלו לקבל את הזכויות והחופש האישי שלהם.\n;1.0;True;;1.0;0.0;0.0;;False;;0.9090909090909091
9;אמנת האום זכויות אנשים עם מוגבלויות;1;10;1;תודתי שלוחה לעובדות ולעובדים בנציבות שוויון זכויות לאנשים עם מוגבלות, הממשיכים לפעול במסירות רבה על מנת להפוך את מדינת ישראל למקום שבו מוגבלות אינה מקשה על מימוש זכויות וחירות אישית.\n;תודה לעובדים של נציבות שוויון זכויות לאנשים עם מוגבלות.\n;1.0;False;;2.0;0.0;0.0;;False;;0.7878787878787878
